All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  NA50   NGA50  NA75   NGA75  LA50  LGA50  LA75  LGA75
k44_M05964-contigs   134                  36                      31                      25                       19                       9                        1856487                 1843001                    1828185                    1778633                     1686546                     1298668                     41         473423          1846118       1830138           37.95   38.15             97979   97979   44883   44883   5    5     11   11    32               14                      1385046                      63                     6 + 2 part           84481             86.007               1.119              8.29               2503.11                   75.09                 146760             35835  35835  12742  12857  15    15     36    35   
k44_M07572-contigs   261                  72                      47                      36                       26                       13                       2018561                 1993863                    1920860                    1849422                     1676512                     1254806                     74         217183          1995099       1830138           38.36   38.15             80448   84558   33152   38074   9    8     20   16    35               18                      1353349                      62                     30 + 9 part          233209            88.255               1.091              8.32               2303.19                   73.86                 110672             29964  35717  10251  17504  19    16     44    35   
k44_M10540-contigs   69                   29                      27                      24                       16                       9                        1846668                 1841807                    1837035                    1816581                     1703942                     1445343                     30         334836          1842389       1830138           38.10   38.15             157960  157960  63553   63553   4    4     8    8     49               13                      1274384                      33                     1 + 10 part          332786            56.735               1.454              0.05               3746.77                   101.32                67112              6591   6605   -      -      51    50     -     -    
k44_M16180-contigs   141                  49                      39                      30                       22                       12                       1875236                 1860135                    1838044                    1771774                     1624648                     1313950                     56         369249          1864193       1830138           38.08   38.15             82364   82364   33896   36285   7    7     15   14    30               14                      1140572                      45                     15 + 10 part         125223            86.794               1.095              1.45               2227.39                   72.59                 111261             35706  36395  14779  15584  14    13     33    31   
k77_M05964-contigs   84                   36                      27                      23                       18                       9                        1861765                 1852825                    1832670                    1800812                     1727524                     1393482                     38         343779          1854153       1830138           37.95   38.15             144973  144973  60895   60895   4    4     9    9     43               19                      1644783                      62                     5 + 0 part           22076             86.315               1.160              1.19               2499.48                   75.46                 146760             38389  38389  12889  13678  14    14     35    33   
k77_M07572-contigs   126                  51                      34                      29                       20                       13                       2033998                 2015592                    1957892                    1923302                     1769021                     1533445                     59         312213          2022140       1830138           38.40   38.15             103159  103159  52032   67108   6    6     13   11    42               16                      1592056                      66                     23 + 9 part          198377            88.490               1.126              0.49               2302.83                   74.78                 110672             36359  37887  10454  18944  18    15     41    31   
k77_M10540-contigs   38                   21                      20                      18                       13                       9                        1843463                 1840271                    1836531                    1825488                     1765750                     1618312                     22         400731          1840807       1830138           38.10   38.15             285281  285281  83976   83976   3    3     6    6     54               10                      1323911                      35                     1 + 7 part           308187            56.578               1.480              0.00               3747.89                   102.08                74272              6605   6605   -      -      47    47     -     -    
k77_M16180-contigs   69                   33                      31                      25                       21                       13                       1877718                 1870234                    1865087                    1825390                     1755503                     1496920                     37         369262          1872401       1830138           38.09   38.15             100164  100164  52751   57916   5    5     12   11    37               17                      1448480                      57                     9 + 4 part           98935             87.436               1.108              0.80               2220.10                   72.93                 125826             36363  38749  16870  17538  13    12     30    29   
k127_M05964-contigs  41                   35                      21                      18                       16                       10                       1943458                 1941913                    1912787                    1890847                     1863980                     1632852                     35         550439          1941913       1830138           38.00   38.15             183050  183050  75809   81560   3    3     8    7     47               17                      1766328                      68                     3 + 0 part           12276             86.544               1.218              0.00               2492.05                   76.08                 146760             38389  40061  12582  15134  15    13     36    30   
k127_M07572-contigs  55                   43                      35                      23                       17                       12                       2047751                 2044301                    2021558                    1931796                     1826189                     1659461                     43         312376          2044301       1830138           38.44   38.15             141208  141208  77394   93346   5    5     10   8     45               15                      1756409                      68                     15 + 6 part          181485            88.547               1.150              0.00               2302.07                   74.30                 112912             38410  40982  10254  22421  16    13     39    28   
k127_M10540-contigs  19                   15                      14                      12                       10                       7                        1839699                 1838715                    1836960                    1826417                     1801233                     1701763                     16         409689          1839251       1830138           38.07   38.15             333934  333934  191716  191716  3    3     5    5     73               10                      1748569                      43                     1 + 2 part           53718             55.910               1.745              0.00               3736.68                   100.86                74272              6805   6805   -      -      43    43     -     -    
k127_M16180-contigs  36                   26                      22                      17                       15                       13                       1890630                 1887625                    1877331                    1843900                     1812508                     1755696                     27         401071          1888140       1830138           38.18   38.15             138055  138055  96606   116061  5    5     9    8     38               11                      1581228                      63                     5 + 3 part           60702             88.311               1.131              0.00               2215.48                   73.75                 125826             41004  46355  18594  21672  12    11     28    26   
k99_M05964-contigs   61                   36                      23                      19                       15                       8                        1868767                 1863738                    1836604                    1805426                     1751712                     1485927                     37         550431          1864279       1830138           38.00   38.15             182978  182978  79438   79438   3    3     7    7     45               18                      1685018                      64                     5 + 0 part           22862             86.452               1.164              0.00               2499.43                   76.03                 146760             38765  40061  12893  13843  14    13     33    31   
k99_M07572-contigs   72                   42                      36                      25                       18                       11                       2042415                 2032406                    2013233                    1934655                     1808181                     1564002                     46         312355          2035777       1830138           38.44   38.15             141152  141152  53598   81353   5    5     11   9     43               14                      1676583                      68                     16 + 7 part          199785            88.573               1.133              0.00               2296.65                   74.52                 110672             36413  39695  10254  21762  17    14     39    29   
k99_M10540-contigs   23                   17                      15                      13                       11                       7                        1834414                 1832278                    1826810                    1816267                     1794781                     1649111                     19         400825          1833634       1830138           38.04   38.15             311520  311520  189976  189976  3    3     5    5     68               9                       1642440                      40                     1 + 5 part           125346            56.249               1.659              0.05               3745.16                   100.64                74272              6988   6988   -      -      43    43     -     -    
k99_M16180-contigs   42                   28                      26                      20                       18                       14                       1893788                 1889956                    1884609                    1845458                     1810534                     1681577                     30         401071          1891040       1830138           38.18   38.15             125281  125281  73822   78232   5    5     10   9     38               14                      1579248                      66                     6 + 3 part           66186             88.404               1.128              0.05               2216.43                   73.55                 125826             38749  41004  18594  21672  13    12     29    27   
