All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  NA50   NGA50  NA75   NGA75  LA50  LGA50  LA75  LGA75
k44_M05964-contigs   134                  36                      31                      25                       19                       9                        1856487                 1843001                    1828185                    1778633                     1686546                     1298668                     41         473423          1846118       1846503           37.95   38.16             97979   97979   44883   44883   5    5     11   11    15               8                       961558                       27                     3 + 3 part           56473             92.843               1.044              8.29               1450.18                   42.23                 183610             73979  73979  34239  34239  8     8      18    18   
k44_M07572-contigs   261                  72                      47                      36                       26                       13                       2018561                 1993863                    1920860                    1849422                     1676512                     1254806                     74         217183          1995099       1846503           38.36   38.16             80448   80448   33152   37295   9    9     20   17    25               17                      1156595                      58                     19 + 14 part         197885            90.387               1.077              8.32               2452.55                   60.58                 118530             34975  36425  18041  21568  17    15     37    31   
k44_M10540-contigs   69                   29                      27                      24                       16                       9                        1846668                 1841807                    1837035                    1816581                     1703942                     1445343                     30         334836          1842389       1846503           38.10   38.16             157960  157960  63553   63553   4    4     8    8     63               13                      1310520                      36                     3 + 7 part           232287            61.026               1.429              0.05               3606.96                   86.79                 54754              9098   9098   -      -      47    47     -     -    
k44_M16180-contigs   141                  49                      39                      30                       22                       12                       1875236                 1860135                    1838044                    1771774                     1624648                     1313950                     56         369249          1864193       1846503           38.08   38.16             82364   82364   33896   36285   7    7     15   14    21               11                      1154003                      53                     13 + 12 part         124986            87.611               1.075              1.45               2478.45                   68.06                 118493             40791  40791  18436  19035  14    14     31    30   
k77_M05964-contigs   84                   36                      27                      23                       18                       9                        1861765                 1852825                    1832670                    1800812                     1727524                     1393482                     38         343779          1854153       1846503           37.95   38.16             144973  144973  60895   60895   4    4     9    9     16               9                       1243858                      25                     2 + 4 part           12525             93.238               1.070              1.19               1442.87                   43.10                 257760             79514  79514  34272  34272  7     7      16    16   
k77_M07572-contigs   126                  51                      34                      29                       20                       13                       2033998                 2015592                    1957892                    1923302                     1769021                     1533445                     59         312213          2022140       1846503           38.40   38.16             103159  103159  52032   67108   6    6     13   11    34               16                      1510870                      59                     18 + 10 part         180057            90.600               1.101              0.49               2444.50                   61.99                 131858             35008  37667  18236  23073  16    14     36    29   
k77_M10540-contigs   38                   21                      20                      18                       13                       9                        1843463                 1840271                    1836531                    1825488                     1765750                     1618312                     22         400731          1840807       1846503           38.10   38.16             285281  285281  83976   83976   3    3     6    6     68               11                      1393238                      41                     2 + 5 part           215447            61.238               1.437              0.00               3607.39                   87.11                 54754              9573   9098   -      -      44    45     -     -    
k77_M16180-contigs   69                   33                      31                      25                       21                       13                       1877718                 1870234                    1865087                    1825390                     1755503                     1496920                     37         369262          1872401       1846503           38.09   38.16             100164  100164  52751   57916   5    5     12   11    25               14                      1368538                      57                     7 + 4 part           92188             87.534               1.101              0.80               2453.74                   68.92                 151369             44375  44375  19057  19207  12    12     28    27   
k127_M05964-contigs  41                   35                      21                      18                       16                       10                       1943458                 1941913                    1912787                    1890847                     1863980                     1632852                     35         550439          1941913       1846503           38.00   38.16             183050  183050  75809   81560   3    3     8    7     18               9                       1382066                      27                     2 + 3 part           11749             94.080               1.111              0.00               1450.39                   44.96                 258107             80740  80740  37257  41793  7     7      16    14   
k127_M07572-contigs  55                   43                      35                      23                       17                       12                       2047751                 2044301                    2021558                    1931796                     1826189                     1659461                     43         312376          2044301       1846503           38.44   38.16             141208  141208  77394   81370   5    5     10   9     32               13                      1583790                      60                     11 + 7 part          159344            90.677               1.126              0.00               2441.65                   63.43                 133385             38650  41844  19189  26463  14    12     32    25   
k127_M10540-contigs  19                   15                      14                      12                       10                       7                        1839699                 1838715                    1836960                    1826417                     1801233                     1701763                     16         409689          1839251       1846503           38.07   38.16             333934  333934  191716  191716  3    3     5    5     89               11                      1816204                      48                     2 + 0 part           10749             60.841               1.628              0.00               3613.85                   86.97                 54754              10088  9573   -      -      42    43     -     -    
k127_M16180-contigs  36                   26                      22                      17                       15                       13                       1890630                 1887625                    1877331                    1843900                     1812508                     1755696                     27         401071          1888140       1846503           38.18   38.16             138055  138055  96606   116061  5    5     9    8     30               12                      1617128                      60                     3 + 3 part           52263             88.380               1.125              0.00               2450.28                   71.69                 150384             47380  54354  23734  27665  12    11     26    24   
k99_M05964-contigs   61                   36                      23                      19                       15                       8                        1868767                 1863738                    1836604                    1805426                     1751712                     1485927                     37         550431          1864279       1846503           38.00   38.16             182978  182978  79438   79438   3    3     7    7     15               7                       1281759                      26                     3 + 3 part           14380             93.992               1.066              0.00               1454.28                   44.31                 257830             80712  80712  40740  40740  7     7      15    15   
k99_M07572-contigs   72                   42                      36                      25                       18                       11                       2042415                 2032406                    2013233                    1934655                     1808181                     1564002                     46         312355          2035777       1846503           38.44   38.16             141152  141152  53598   81353   5    5     11   9     34               14                      1547851                      61                     10 + 8 part          177096            90.584               1.111              0.00               2438.84                   61.82                 133385             37745  41844  19189  25362  14    12     32    26   
k99_M10540-contigs   23                   17                      15                      13                       11                       7                        1834414                 1832278                    1826810                    1816267                     1794781                     1649111                     19         400825          1833634       1846503           38.04   38.16             311520  311520  189976  189976  3    3     5    5     86               10                      1748400                      45                     3 + 2 part           39749             60.766               1.599              0.05               3615.37                   86.98                 82226              9721   9573   -      -      42    43     -     -    
k99_M16180-contigs   42                   28                      26                      20                       18                       14                       1893788                 1889956                    1884609                    1845458                     1810534                     1681577                     30         401071          1891040       1846503           38.18   38.16             125281  125281  73822   73822   5    5     10   10    29               14                      1579530                      61                     3 + 4 part           57372             88.190               1.126              0.05               2456.49                   71.79                 151369             46341  46341  22478  26745  12    12     27    25   
